"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0007186",1.5006664881115e-20,1,708,1128,"G protein-coupled receptor signaling pathway","BP"
"GO:0006508",1.09255961447824e-07,1,312,515,"proteolysis","BP"
"GO:0042981",1.92481543371052e-07,0.99999991514194,125,183,"regulation of apoptotic process","BP"
"GO:0007166",3.1938173308171e-06,0.999998732288739,84,119,"cell surface receptor signaling pathway","BP"
"GO:0007156",2.34830039789002e-05,0.999994945506016,35,43,"homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"GO:0051260",3.10828250377344e-05,0.999989346473502,54,74,"protein homooligomerization","BP"
"GO:0055085",3.24092852045153e-05,0.999977826163383,335,580,"transmembrane transport","BP"
"GO:0005975",3.46716524692313e-05,0.999982821732381,103,157,"carbohydrate metabolic process","BP"
"GO:0034220",4.6703472004847e-05,0.99998037770126,71,103,"ion transmembrane transport","BP"
"GO:0006751",5.13558140207288e-05,1,14,14,"glutathione catabolic process","BP"
"GO:0007165",0.000172087484144902,0.999888703829023,198,332,"signal transduction","BP"
"GO:0016540",0.000232143518881363,0.99998655098054,15,16,"protein autoprocessing","BP"
"GO:0007267",0.000237144293247536,0.999986222433151,15,16,"cell-cell signaling","BP"
"GO:0016539",0.00152556158266279,0.999893106570229,12,13,"intein-mediated protein splicing","BP"
"GO:0015074",0.00161706093285895,0.998788073122555,295,528,"DNA integration","BP"
"GO:0006955",0.00898393530285442,0.997953100483518,15,19,"immune response","BP"
"GO:0050482",0.00968716179573207,0.999139491946344,9,10,"arachidonic acid secretion","BP"
"GO:0016042",0.00974721555083432,0.999132981564728,9,10,"lipid catabolic process","BP"
"GO:0006821",0.00988275510877514,0.99911825230677,9,10,"chloride transport","BP"
"GO:0007160",0.0113062866629245,0.996703301764199,18,24,"cell-matrix adhesion","BP"
"GO:0032481",0.0144882540667812,1,6,6,"positive regulation of type I interferon production","BP"
"GO:0008272",0.0145551068454522,1,6,6,"sulfate transport","BP"
"GO:0006813",0.0147920579800206,0.992030306120748,47,75,"potassium ion transport","BP"
"GO:0007275",0.0205142660483651,0.989032643572938,42,67,"multicellular organism development","BP"
"GO:0006644",0.029798973152598,0.994782129638674,9,11,"phospholipid metabolic process","BP"
"GO:0006857",0.0301621889494531,0.994703304340169,9,11,"oligopeptide transport","BP"
"GO:0016310",0.0309082858450663,0.994540592357903,9,11,"phosphorylation","BP"
"GO:0046373",0.0331506367436019,0.996378507005524,7,8,"L-arabinose metabolic process","BP"
"GO:0006629",0.0355261055016931,0.976966029341065,66,113,"lipid metabolic process","BP"
"GO:0007169",0.0435608302135907,0.989541277760405,10,13,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"GO:0070588",0.0499665477062408,0.976207188526557,24,37,"calcium ion transmembrane transport","BP"
"GO:0016021",6.13542941248383e-20,1,1428,2456,"integral component of membrane","CC"
"GO:0005576",6.50728892703839e-14,1,130,167,"extracellular region","CC"
"GO:0008076",6.1085536192982e-05,0.999985319908162,34,43,"voltage-gated potassium channel complex","CC"
"GO:0016020",0.000746102230339872,0.999405233502575,534,977,"membrane","CC"
"GO:0045211",0.00310481729291449,0.998894249117405,30,42,"postsynaptic membrane","CC"
"GO:0001518",0.0183953038687712,0.998188210379574,8,9,"voltage-gated sodium channel complex","CC"
"GO:0005886",0.0188823553903576,0.990898928329468,34,52,"plasma membrane","CC"
"GO:0004930",1.11797259598833e-20,1,675,1068,"G protein-coupled receptor activity","MF"
"GO:0004713",7.55424660619636e-11,1,123,166,"protein tyrosine kinase activity","MF"
"GO:0005044",3.22967506083016e-07,0.999999931201497,50,61,"scavenger receptor activity","MF"
"GO:0030246",1.73894437167135e-06,0.999999535635122,53,68,"carbohydrate binding","MF"
"GO:0043531",2.22792403810341e-06,0.999999729851123,30,34,"ADP binding","MF"
"GO:0030414",2.51790191980158e-06,1,19,19,"peptidase inhibitor activity","MF"
"GO:0022857",3.45606059371728e-06,0.999998743965769,171,272,"transmembrane transporter activity","MF"
"GO:0005201",8.9508340519217e-06,0.999996889002896,63,86,"extracellular matrix structural constituent","MF"
"GO:0004089",1.88214314259195e-05,0.999997893524123,24,27,"carbonate dehydratase activity","MF"
"GO:0005509",2.39517186839419e-05,0.999983105019015,402,698,"calcium ion binding","MF"
"GO:0036374",0.000104046995679595,1,13,13,"glutathione hydrolase activity","MF"
"GO:0031418",0.000177607457288399,0.999957334911678,30,38,"L-ascorbic acid binding","MF"
"GO:0004714",0.000207096887613569,0.999953264723646,28,35,"transmembrane receptor protein tyrosine kinase activity","MF"
"GO:0003950",0.000221381329022764,0.999936322859595,35,46,"NAD+ ADP-ribosyltransferase activity","MF"
"GO:0004888",0.000372100384767133,0.999819903649195,73,111,"transmembrane signaling receptor activity","MF"
"GO:0003968",0.000424783140024629,1,11,11,"RNA-directed 5'-3' RNA polymerase activity","MF"
"GO:0004553",0.000529754201206579,0.999826542179691,36,49,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"GO:0005230",0.000537179937677638,0.999777367107434,51,74,"extracellular ligand-gated ion channel activity","MF"
"GO:0015276",0.000608610994765149,0.999877992642933,22,27,"ligand-gated ion channel activity","MF"
"GO:0004222",0.000803279271892279,0.999557332241017,91,144,"metalloendopeptidase activity","MF"
"GO:0004867",0.00175725026185903,0.999782518417078,15,17,"serine-type endopeptidase inhibitor activity","MF"
"GO:0004525",0.00176901470787218,1,9,9,"ribonuclease III activity","MF"
"GO:0004252",0.00177082345625281,0.999040369145825,76,120,"serine-type endopeptidase activity","MF"
"GO:0004890",0.00180602942746489,0.999780861579199,14,16,"GABA-A receptor activity","MF"
"GO:0004190",0.00285356871989636,0.998471699398526,67,106,"aspartic-type endopeptidase activity","MF"
"GO:0015293",0.00356406059464411,1,8,8,"symporter activity","MF"
"GO:0005249",0.004702115050028,0.997932452285059,39,58,"voltage-gated potassium channel activity","MF"
"GO:0004623",0.00521787897216496,0.99957522736495,10,11,"phospholipase A2 activity","MF"
"GO:0016829",0.00567768986512348,0.999215158958123,12,14,"lyase activity","MF"
"GO:0016702",0.00576858041314337,0.997919307472168,27,38,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"GO:0005164",0.00579622152000587,0.99894597022958,14,17,"tumor necrosis factor receptor binding","MF"
"GO:0004565",0.00624746343117299,0.999121718607353,12,14,"beta-galactosidase activity","MF"
"GO:0016407",0.00715271902497628,1,7,7,"acetyltransferase activity","MF"
"GO:0008061",0.00827861444552375,0.997311163693376,22,30,"chitin binding","MF"
"GO:0035438",0.0144882540667812,1,6,6,"cyclic-di-GMP binding","MF"
"GO:0008271",0.0144887408606038,1,6,6,"secondary active sulfate transmembrane transporter activity","MF"
"GO:0005247",0.0148437597799346,1,6,6,"voltage-gated chloride channel activity","MF"
"GO:0016849",0.0151218811143014,1,6,6,"phosphorus-oxygen lyase activity","MF"
"GO:0022848",0.017103067516938,0.993195476110264,24,35,"acetylcholine-gated cation-selective channel activity","MF"
"GO:0000976",0.0173938452837711,0.99720116443089,10,12,"transcription regulatory region sequence-specific DNA binding","MF"
"GO:0005248",0.0183953038687712,0.998188210379574,8,9,"voltage-gated sodium channel activity","MF"
"GO:0004096",0.018595694642449,0.992524622662156,24,35,"catalase activity","MF"
"GO:0004620",0.0187633980599981,0.9981428414833,8,9,"phospholipase activity","MF"
"GO:0004842",0.0188902935306779,0.986503092297024,128,225,"ubiquitin-protein transferase activity","MF"
"GO:0004322",0.029345894332002,1,5,5,"ferroxidase activity","MF"
"GO:0005179",0.0293458943320771,1,5,5,"hormone activity","MF"
"GO:0031419",0.0294003343949268,1,5,5,"cobalamin binding","MF"
"GO:0004800",0.029798973152489,0.994782129638694,9,11,"thyroxine 5'-deiodinase activity","MF"
"GO:0004656",0.0325382853858369,0.996464087558335,7,8,"procollagen-proline 4-dioxygenase activity","MF"
"GO:0004563",0.0330034891216326,0.996399118124834,7,8,"beta-N-acetylhexosaminidase activity","MF"
"GO:0046556",0.0331506367436019,0.996378507005524,7,8,"alpha-L-arabinofuranosidase activity","MF"
"GO:0008519",0.0344317105277408,0.990676406877324,12,16,"ammonium transmembrane transporter activity","MF"
"GO:0004977",0.0430262792671628,0.986500032110575,13,18,"melanocortin receptor activity","MF"
"GO:0030144",0.0442804181459512,0.989328238196439,10,13,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity","MF"
"unknown",3.17271553779714e-19,1,1234,2105,NA,NA
