"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0035556",1.18788408270174e-06,0.99999967578968,24,146,"intracellular signal transduction","BP"
"GO:0090481",1.96574294982841e-06,0.999999982614014,5,6,"pyrimidine nucleotide-sugar transmembrane transport","BP"
"GO:0006139",6.57571386259665e-06,0.999999213924821,10,35,"nucleobase-containing compound metabolic process","BP"
"GO:0046856",6.48516052484129e-05,0.999997407809914,5,9,"phosphatidylinositol dephosphorylation","BP"
"GO:0016311",0.000307949397612418,0.999969598513665,6,18,"dephosphorylation","BP"
"GO:0008299",0.0013178818447787,0.999912745939225,4,10,"isoprenoid biosynthetic process","BP"
"GO:0034968",0.00145941120525989,0.999959008225722,3,5,"histone lysine methylation","BP"
"GO:0034080",0.00163030463869762,1,2,2,"CENP-A containing nucleosome assembly","BP"
"GO:0071816",0.00190895668358401,1,2,2,"tail-anchored membrane protein insertion into ER membrane","BP"
"GO:0006888",0.00233268182440518,0.999806145636252,4,12,"endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"GO:0006480",0.00286679572192832,1,2,2,"N-terminal protein amino acid methylation","BP"
"GO:0006784",0.00326148178149968,1,2,2,"heme A biosynthetic process","BP"
"GO:0006368",0.00330687460780584,0.999852499459583,3,6,"transcription elongation from RNA polymerase II promoter","BP"
"GO:0006623",0.00347000429728086,1,2,2,"protein targeting to vacuole","BP"
"GO:0017148",0.00354510294744893,1,2,2,"negative regulation of translation","BP"
"GO:0043488",0.00354510294744893,1,2,2,"regulation of mRNA stability","BP"
"GO:0006470",0.00961889250961298,0.997232201267226,8,55,"protein dephosphorylation","BP"
"GO:0006526",0.0100131269748997,0.999795412532254,2,3,"arginine biosynthetic process","BP"
"GO:0032218",0.0102761718519687,0.999701097077556,2,4,"riboflavin transport","BP"
"GO:0008053",0.0104582832075205,0.99978131738467,2,3,"mitochondrial fusion","BP"
"GO:0044260",0.0114837026419359,0.999645758601964,2,4,"cellular macromolecule metabolic process","BP"
"GO:0030488",0.013240499022152,0.999559500126672,2,4,"tRNA methylation","BP"
"GO:0050909",0.0153106019280725,0.999363496028578,2,5,"sensory perception of taste","BP"
"GO:0006379",0.0215141824495619,0.998926866720059,2,5,"mRNA cleavage","BP"
"GO:0006890",0.0261653500159195,0.998549008384239,2,5,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP"
"GO:0120009",0.0316943815432718,0.997884656912825,2,6,"intermembrane lipid transfer","BP"
"GO:0006631",0.0324487957649558,0.997806279386236,2,6,"fatty acid metabolic process","BP"
"GO:0007179",0.034741292124575,0.997561790170442,2,6,"transforming growth factor beta receptor signaling pathway","BP"
"GO:0007018",0.0368328066195748,0.983634515629184,11,108,"microtubule-based movement","BP"
"GO:0006885",0.0368655283367773,0.997326915502081,2,6,"regulation of pH","BP"
"GO:0006506",0.037834434281203,0.99413703175552,3,16,"GPI anchor biosynthetic process","BP"
"GO:0007600",0.0401969210012109,1,1,1,"sensory perception","BP"
"GO:0045494",0.0401969210012109,1,1,1,"photoreceptor cell maintenance","BP"
"GO:0045329",0.0402473088721817,1,1,1,"carnitine biosynthetic process","BP"
"GO:0010826",0.0402748860501743,1,1,1,"negative regulation of centrosome duplication","BP"
"GO:0007264",0.040436436718683,0.987229687301129,6,48,"small GTPase mediated signal transduction","BP"
"GO:0000183",0.0412761357797296,1,1,1,"rDNA heterochromatin assembly","BP"
"GO:0034427",0.0415625646660989,1,1,1,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'","BP"
"GO:0007064",0.0415859003628664,0.99677715007753,2,6,"mitotic sister chromatid cohesion","BP"
"GO:0021520",0.0418192742885038,1,1,1,"spinal cord motor neuron cell fate specification","BP"
"GO:0046474",0.0473608725902539,1,1,1,"glycerophospholipid biosynthetic process","BP"
"GO:0006788",0.0475510507182735,1,1,1,"heme oxidation","BP"
"GO:0042998",0.0476630001415036,1,1,1,"positive regulation of Golgi to plasma membrane protein transport","BP"
"GO:0060271",0.0479569802359028,0.995765367667257,2,7,"cilium assembly","BP"
"GO:0042981",0.0485842075360718,0.97429693081034,15,183,"regulation of apoptotic process","BP"
"GO:0000139",0.000436154316578744,0.999938702430459,7,30,"Golgi membrane","CC"
"GO:0043189",0.00165661326820703,1,2,2,"H4/H2A histone acetyltransferase complex","CC"
"GO:0036038",0.00253208596514505,1,2,2,"MKS complex","CC"
"GO:0016021",0.00278786514339952,0.997909066833606,146,2456,"integral component of membrane","CC"
"GO:0008023",0.00998283994084125,0.999796359386667,2,3,"transcription elongation factor complex","CC"
"GO:0016592",0.0147214145440087,0.996971731240713,5,29,"mediator complex","CC"
"GO:0000813",0.0285148109936826,0.998342895537665,2,5,"ESCRT I complex","CC"
"GO:0005662",0.0401952637691882,1,1,1,"DNA replication factor A complex","CC"
"GO:0035861",0.0401952637691882,1,1,1,"site of double-strand break","CC"
"GO:0005720",0.0412761357797296,1,1,1,"nuclear heterochromatin","CC"
"GO:0000799",0.0470060511461741,1,1,1,"nuclear condensin complex","CC"
"GO:0008408",1.23860055468825e-08,0.999999999230352,11,26,"3'-5' exonuclease activity","MF"
"GO:0015165",1.96574294982841e-06,0.999999982614014,5,6,"pyrimidine nucleotide-sugar transmembrane transporter activity","MF"
"GO:0018024",2.71324797893923e-05,0.999999204349554,5,8,"histone-lysine N-methyltransferase activity","MF"
"GO:0004725",0.000142119699694799,0.999968607574813,12,62,"protein tyrosine phosphatase activity","MF"
"GO:0005515",0.000466685938174727,0.999643415872961,238,3720,"protein binding","MF"
"GO:0016757",0.000945327424999629,0.999818893053868,8,43,"transferase activity, transferring glycosyl groups","MF"
"GO:0009019",0.00183862489489738,1,2,2,"tRNA (guanine-N1-)-methyltransferase activity","MF"
"GO:0004421",0.00243900016086652,1,2,2,"hydroxymethylglutaryl-CoA synthase activity","MF"
"GO:0008017",0.0025246085622772,0.999201267404359,12,83,"microtubule binding","MF"
"GO:0035240",0.00286060839496673,1,2,2,"dopamine binding","MF"
"GO:0072544",0.00286060839496673,1,2,2,"L-DOPA binding","MF"
"GO:0072545",0.00286060839496673,1,2,2,"tyrosine binding","MF"
"GO:0005347",0.00306658593606192,0.999591889971262,5,20,"ATP transmembrane transporter activity","MF"
"GO:0003991",0.0033958990258582,1,2,2,"acetylglutamate kinase activity","MF"
"GO:0030371",0.00354510294744893,1,2,2,"translation repressor activity","MF"
"GO:0003777",0.00363053959788975,0.998864493737524,11,78,"microtubule motor activity","MF"
"GO:0016787",0.00423193786499473,0.998177518273547,18,183,"hydrolase activity","MF"
"GO:0016409",0.00439493181042769,0.999347624380724,5,23,"palmitoyltransferase activity","MF"
"GO:0003725",0.00537559570049909,0.999920846972172,2,3,"double-stranded RNA binding","MF"
"GO:0008168",0.00560352806186607,0.9980125423703,12,106,"methyltransferase activity","MF"
"GO:0017064",0.00649657207411355,0.999894367459723,2,3,"fatty acid amide hydrolase activity","MF"
"GO:0016717",0.00669531094294076,0.999510505240279,3,10,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","MF"
"GO:0003964",0.00710958416332372,0.997034666003906,15,169,"RNA-directed DNA polymerase activity","MF"
"GO:0000175",0.00750146483317599,0.999868446250292,2,3,"3'-5'-exoribonuclease activity","MF"
"GO:0003953",0.00991817200876666,0.999798375867544,2,3,"NAD+ nucleosidase activity","MF"
"GO:0005085",0.0101167485985857,0.996555173436351,10,74,"guanyl-nucleotide exchange factor activity","MF"
