"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006334",5.71019875328093e-19,1,28,41,"nucleosome assembly","BP"
"GO:0006355",1.39674266067364e-14,1,91,465,"regulation of transcription, DNA-templated","BP"
"GO:0006265",2.65843862619365e-06,0.999999944509311,6,8,"DNA topological change","BP"
"GO:0008033",7.00541373791951e-06,0.999999232021767,10,25,"tRNA processing","BP"
"GO:0042254",2.01136822581708e-05,0.999998246550927,8,18,"ribosome biogenesis","BP"
"GO:0000413",4.3783479689116e-05,0.999995525674068,8,20,"protein peptidyl-prolyl isomerization","BP"
"GO:0006471",6.18885720533635e-05,0.99999782788581,5,8,"protein ADP-ribosylation","BP"
"GO:0006275",0.000155438603138472,0.999997492096756,4,5,"regulation of DNA replication","BP"
"GO:0006281",0.000225307893821221,0.999931149479549,17,87,"DNA repair","BP"
"GO:0009408",0.000372993689932127,1,3,3,"response to heat","BP"
"GO:0000398",0.00039672586584983,0.999929370208801,9,31,"mRNA splicing, via spliceosome","BP"
"GO:0006352",0.000493119427009244,0.9999513151153,6,14,"DNA-templated transcription, initiation","BP"
"GO:0006396",0.000557837588863347,0.999868492176259,11,49,"RNA processing","BP"
"GO:0006457",0.00075388048435127,0.999801129964507,12,55,"protein folding","BP"
"GO:0006364",0.000894444131694745,0.999866225794822,7,22,"rRNA processing","BP"
"GO:0006397",0.00126343555268394,0.999724411959901,9,38,"mRNA processing","BP"
"GO:0001522",0.00201824175229855,0.999783166760919,5,13,"pseudouridine synthesis","BP"
"GO:0006351",0.00245009586060475,0.999403694388275,9,41,"transcription, DNA-templated","BP"
"GO:0046654",0.00393955479327032,0.999841524980004,3,5,"tetrahydrofolate biosynthetic process","BP"
"GO:0006164",0.00504157253695302,0.999737618967031,3,6,"purine nucleotide biosynthetic process","BP"
"GO:0009152",0.00529644242933349,1,2,2,"purine ribonucleotide biosynthetic process","BP"
"GO:0007051",0.00580938455037038,1,2,2,"spindle organization","BP"
"GO:0031145",0.0112920463344366,1,2,2,"anaphase-promoting complex-dependent catabolic process","BP"
"GO:0000012",0.0129982363977203,0.999694629989118,2,3,"single strand break repair","BP"
"GO:0042274",0.0147139488870306,0.999630506445498,2,3,"ribosomal small subunit biogenesis","BP"
"GO:0034508",0.0152633884366414,0.999609058643445,2,3,"centromere complex assembly","BP"
"GO:0016570",0.0156705473943632,0.999592885974904,2,3,"histone modification","BP"
"GO:0006261",0.0186033152992321,0.999469596090905,2,3,"DNA-dependent DNA replication","BP"
"GO:0051276",0.0201938758214606,0.999026134600059,2,5,"chromosome organization","BP"
"GO:0006367",0.0204140708396958,0.996660989212391,4,14,"transcription initiation from RNA polymerase II promoter","BP"
"GO:0140021",0.0222529951538486,0.99930030097968,2,3,"mitochondrial ADP transmembrane transport","BP"
"GO:1990544",0.0222529951538486,0.99930030097968,2,3,"mitochondrial ATP transmembrane transport","BP"
