"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0046416",4.86771871786505e-07,1,6,6,"D-amino acid metabolic process","BP"
"GO:0007034",0.00016811765356683,0.999986520292293,6,14,"vacuolar transport","BP"
"GO:0000387",0.000350197848740027,0.999975640760756,5,12,"spliceosomal snRNP assembly","BP"
"GO:0034453",0.000431730231579402,1,3,3,"microtubule anchoring","BP"
"GO:0034314",0.000664902044217071,0.999967768097671,4,8,"Arp2/3 complex-mediated actin nucleation","BP"
"GO:0015986",0.00070095518335267,0.999917583276347,6,19,"ATP synthesis coupled proton transport","BP"
"GO:0006493",0.00190939554490766,0.999959534157708,3,4,"protein O-linked glycosylation","BP"
"GO:0006807",0.00199364683833546,0.999775972624968,5,15,"nitrogen compound metabolic process","BP"
"GO:0023052",0.00232831056650103,0.999946968435656,3,4,"signaling","BP"
"GO:0006120",0.00289956358005718,1,2,2,"mitochondrial electron transport, NADH to ubiquinone","BP"
"GO:0006839",0.004357278822721,1,2,2,"mitochondrial transport","BP"
"GO:0045132",0.0044733564811163,1,2,2,"meiotic chromosome segregation","BP"
"GO:0006520",0.00476811808335299,0.999144806417427,6,22,"cellular amino acid metabolic process","BP"
"GO:0006695",0.00490710794752387,0.99990301890795,2,4,"cholesterol biosynthetic process","BP"
"GO:0000122",0.00527064347624969,0.999891896162752,2,4,"negative regulation of transcription by RNA polymerase II","BP"
"GO:0000027",0.00551906073464105,1,2,2,"ribosomal large subunit assembly","BP"
"GO:0043065",0.00586781862243694,1,2,2,"positive regulation of apoptotic process","BP"
"GO:0001919",0.00617217612191437,1,2,2,"regulation of receptor recycling","BP"
"GO:0007040",0.00617217612191437,1,2,2,"lysosome organization","BP"
"GO:0042632",0.00617217612191437,1,2,2,"cholesterol homeostasis","BP"
"GO:0043410",0.00617217612191437,1,2,2,"positive regulation of MAPK cascade","BP"
"GO:0006007",0.00649695467071123,1,2,2,"glucose catabolic process","BP"
"GO:0009058",0.00670770534738816,0.997909645126728,10,52,"biosynthetic process","BP"
"GO:0048034",0.00754033306433364,1,2,2,"heme O biosynthetic process","BP"
"GO:0006360",0.00781393931743678,1,2,2,"transcription by RNA polymerase I","BP"
"GO:0030705",0.00940611509175954,1,2,2,"cytoskeleton-dependent intracellular transport","BP"
"GO:0006886",0.00947950974233783,0.996026304071977,15,91,"intracellular protein transport","BP"
"GO:0006464",0.00982591239531856,0.997539147976599,7,33,"cellular protein modification process","BP"
"GO:0042773",0.0107713933557673,0.999771159387962,2,3,"ATP synthesis coupled electron transport","BP"
"GO:0016192",0.0116436721834789,0.995346496070413,13,79,"vesicle-mediated transport","BP"
"GO:0006122",0.0139309208695094,0.999523716037878,2,4,"mitochondrial electron transport, ubiquinol to cytochrome c","BP"
"GO:0006096",0.0146248368255952,0.997879572880812,4,13,"glycolytic process","BP"
"GO:0006506",0.0158447367244341,0.99753347087264,4,16,"GPI anchor biosynthetic process","BP"
"GO:0019700",0.016078444718224,0.999576518188295,2,3,"organic phosphonate catabolic process","BP"
"GO:0006002",0.0181599719141819,0.999489066400998,2,3,"fructose 6-phosphate metabolic process","BP"
"GO:0006014",0.0190671531407124,0.999449123984649,2,3,"D-ribose metabolic process","BP"
"GO:0016197",0.0193511866874569,0.999436395194335,2,3,"endosomal transport","BP"
"GO:0032008",0.0195640674444317,0.999426785985183,2,3,"positive regulation of TOR signaling","BP"
"GO:0071230",0.0195640674444317,0.999426785985183,2,3,"cellular response to amino acid stimulus","BP"
"GO:0015693",0.0199357866269802,0.999409865844901,2,3,"magnesium ion transport","BP"
"GO:0015689",0.0199900203060784,0.999170426574434,2,4,"molybdate ion transport","BP"
"GO:0045947",0.0237520198495883,0.998917664397506,2,4,"negative regulation of translational initiation","BP"
"GO:0006006",0.0237826458464588,0.998915508147485,2,4,"glucose metabolic process","BP"
"GO:0006376",0.0242392451038162,0.999201284487458,2,3,"mRNA splice site selection","BP"
"GO:0006303",0.0250045062637607,0.997212833972317,3,8,"double-strand break repair via nonhomologous end joining","BP"
"GO:0030163",0.0252369705651484,0.997176693414589,3,8,"protein catabolic process","BP"
"GO:0048747",0.0303330215286687,1,1,1,"muscle fiber development","BP"
"GO:0006397",0.0308680682878841,0.990089776314659,7,38,"mRNA processing","BP"
"GO:0000723",0.0339263971006319,0.993121330655515,4,19,"telomere maintenance","BP"
"GO:0006094",0.0342473262499862,0.99809182170848,2,4,"gluconeogenesis","BP"
"GO:0006913",0.0343377091228914,0.998083985340387,2,4,"nucleocytoplasmic transport","BP"
"GO:0006298",0.0353065486480989,0.993037744937813,4,15,"mismatch repair","BP"
"GO:0006779",0.0353201245287782,0.997998043838816,2,4,"porphyrin-containing compound biosynthetic process","BP"
"GO:0036297",0.0365960558156024,0.997884352178778,2,4,"interstrand cross-link repair","BP"
"GO:0032324",0.0367556351578844,1,1,1,"molybdopterin cofactor biosynthetic process","BP"
"GO:0006777",0.038377309725057,0.99737345678902,2,5,"Mo-molybdopterin cofactor biosynthetic process","BP"
"GO:0006281",0.0388306661638241,0.982749099029017,11,87,"DNA repair","BP"
"GO:0006555",0.0392155317184744,0.997643712422659,2,4,"methionine metabolic process","BP"
