"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006334",1.94847382974552e-20,1,26,41,"nucleosome assembly","BP"
"GO:0006355",1.78981998629562e-07,1,54,465,"regulation of transcription, DNA-templated","BP"
"GO:0006614",1.13140220289455e-06,0.999999974846237,6,9,"SRP-dependent cotranslational protein targeting to membrane","BP"
"GO:0051603",2.55589929130317e-06,0.999999925087426,6,10,"proteolysis involved in cellular protein catabolic process","BP"
"GO:0000398",0.000102133485702725,0.999986701107308,8,31,"mRNA splicing, via spliceosome","BP"
"GO:0006164",0.00117784125418755,0.999963665593901,3,6,"purine nucleotide biosynthetic process","BP"
"GO:0006471",0.00374730977796652,0.999794714524201,3,8,"protein ADP-ribosylation","BP"
"GO:0042274",0.00552746492310709,0.999917408828036,2,3,"ribosomal small subunit biogenesis","BP"
"GO:0031145",0.00557226003018975,1,2,2,"anaphase-promoting complex-dependent catabolic process","BP"
"GO:0006357",0.00573423798461799,0.99885689320056,6,35,"regulation of transcription by RNA polymerase II","BP"
"GO:0006396",0.00579475374395724,0.99863576699031,7,49,"RNA processing","BP"
"GO:0008033",0.00622425410163511,0.99898318375505,5,25,"tRNA processing","BP"
"GO:0006397",0.00688217167352966,0.99856274518341,6,38,"mRNA processing","BP"
"GO:0051276",0.00753252424746713,0.999784469029152,2,5,"chromosome organization","BP"
"GO:0051225",0.00820392065796361,0.999336965069052,3,11,"spindle assembly","BP"
"GO:0006511",0.00890402651712048,0.997432703566834,8,70,"ubiquitin-dependent protein catabolic process","BP"
"GO:0042254",0.00908569350158033,0.998775790168127,4,18,"ribosome biogenesis","BP"
"GO:0140021",0.0103631465682986,0.999784336565127,2,3,"mitochondrial ADP transmembrane transport","BP"
"GO:1990544",0.0103631465682986,0.999784336565127,2,3,"mitochondrial ATP transmembrane transport","BP"
"GO:0042779",0.0106607424850515,0.999774775344702,2,3,"tRNA 3'-trailer cleavage","BP"
"GO:0006189",0.0114247019211606,0.99964850438823,2,4,"'de novo' IMP biosynthetic process","BP"
"GO:0000413",0.0117468922212184,0.998264868875565,4,20,"protein peptidyl-prolyl isomerization","BP"
"GO:0006094",0.0121072439871899,0.999615868295638,2,4,"gluconeogenesis","BP"
"GO:0006541",0.0143855261448914,0.999421392541999,2,5,"glutamine metabolic process","BP"
"GO:0016573",0.0174946096943437,0.998086014258384,3,12,"histone acetylation","BP"
"GO:0032508",0.0184218911206889,0.997944629402995,3,12,"DNA duplex unwinding","BP"
"GO:0006122",0.0192835414638661,0.999215223049141,2,4,"mitochondrial electron transport, ubiquinol to cytochrome c","BP"
"GO:0017121",0.0193358785254183,0.999089253778407,2,5,"plasma membrane phospholipid scrambling","BP"
"GO:0006275",0.0219930309988657,0.998889773846482,2,5,"regulation of DNA replication","BP"
"GO:0046654",0.0222990484931362,0.998865899771099,2,5,"tetrahydrofolate biosynthetic process","BP"
"GO:0070897",0.022670729516424,0.998836657807153,2,5,"transcription preinitiation complex assembly","BP"
"GO:0000244",0.022696304890169,1,1,1,"spliceosomal tri-snRNP complex assembly","BP"
"GO:0006403",0.022696304890169,1,1,1,"RNA localization","BP"
"GO:0044782",0.0288162427937993,1,1,1,"cilium organization","BP"
"GO:0032784",0.0324065429225961,1,1,1,"regulation of DNA-templated transcription, elongation","BP"
"GO:0006352",0.0360054290178695,0.994638670930644,3,14,"DNA-templated transcription, initiation","BP"
"GO:0006685",0.0370639474171987,1,1,1,"sphingomyelin catabolic process","BP"
"GO:0016072",0.037245360563808,1,1,1,"rRNA metabolic process","BP"
"GO:0034470",0.037245360563808,1,1,1,"ncRNA processing","BP"
