"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0035556",2.1519365512475e-05,0.999992215031113,29,146,"intracellular signal transduction","BP"
"GO:0090481",2.50952524812607e-05,0.999999616610252,5,6,"pyrimidine nucleotide-sugar transmembrane transport","BP"
"GO:0006368",3.53071924907589e-05,0.999999418645466,5,6,"transcription elongation from RNA polymerase II promoter","BP"
"GO:0006139",8.49008655679142e-05,0.999984950615268,11,35,"nucleobase-containing compound metabolic process","BP"
"GO:0006888",0.000211670178486071,0.999983685453161,6,12,"endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"GO:0016311",0.000573604546962458,0.999925318904372,7,18,"dephosphorylation","BP"
"GO:0046856",0.00058266502039508,0.999961960445405,5,9,"phosphatidylinositol dephosphorylation","BP"
"GO:0006351",0.00169424897400574,0.999578886528596,10,41,"transcription, DNA-templated","BP"
"GO:0006265",0.00275566639293604,0.999801222157379,4,8,"DNA topological change","BP"
"GO:0006355",0.00298182620872349,0.998157169986337,54,465,"regulation of transcription, DNA-templated","BP"
"GO:0001522",0.00317265342356173,0.999620480703798,5,13,"pseudouridine synthesis","BP"
"GO:0006275",0.00434406796759963,0.999818866338932,3,5,"regulation of DNA replication","BP"
"GO:0034080",0.00505222047310663,1,2,2,"CENP-A containing nucleosome assembly","BP"
"GO:0009298",0.00560500046953195,1,2,2,"GDP-mannose biosynthetic process","BP"
"GO:0071816",0.00580440976184238,1,2,2,"tail-anchored membrane protein insertion into ER membrane","BP"
"GO:0034968",0.00587773225798562,0.99972589976199,3,5,"histone lysine methylation","BP"
"GO:0007051",0.00617383016879945,1,2,2,"spindle organization","BP"
"GO:0016070",0.00680398263006127,1,2,2,"RNA metabolic process","BP"
"GO:0008299",0.00790745457141719,0.99912629040021,4,10,"isoprenoid biosynthetic process","BP"
"GO:0006480",0.00793408011914777,1,2,2,"N-terminal protein amino acid methylation","BP"
"GO:0006364",0.00835615007437667,0.998309492283711,6,22,"rRNA processing","BP"
"GO:0006784",0.00838522308799185,1,2,2,"heme A biosynthetic process","BP"
"GO:0009152",0.00847672687784785,1,2,2,"purine ribonucleotide biosynthetic process","BP"
"GO:0006623",0.00850289513384397,1,2,2,"protein targeting to vacuole","BP"
"GO:0017148",0.0085435133344983,1,2,2,"negative regulation of translation","BP"
"GO:0043488",0.0085435133344983,1,2,2,"regulation of mRNA stability","BP"
"GO:0016180",0.00855942872516002,1,2,2,"snRNA processing","BP"
"GO:0006486",0.00857269863947264,0.996300735521062,16,112,"protein glycosylation","BP"
"GO:0006260",0.0121169477412053,0.996157377436006,9,45,"DNA replication","BP"
"GO:0008033",0.0170764724755503,0.995860973679321,6,25,"tRNA processing","BP"
"GO:0006352",0.0191073125884855,0.996937814065276,4,14,"DNA-templated transcription, initiation","BP"
"GO:0006470",0.0196140652851262,0.992740837397029,10,55,"protein dephosphorylation","BP"
"GO:0006261",0.0201752338367796,0.999398779747792,2,3,"DNA-dependent DNA replication","BP"
"GO:0000290",0.020725702779292,0.999373223079816,2,3,"deadenylation-dependent decapping of nuclear-transcribed mRNA","BP"
"GO:0018344",0.0227194600645661,0.999277457364645,2,3,"protein geranylgeranylation","BP"
"GO:0016570",0.0230244955708095,0.999262370193536,2,3,"histone modification","BP"
"GO:0000012",0.023261380987674,0.999250575120473,2,3,"single strand break repair","BP"
"GO:0034508",0.0237902388691376,0.999223995388237,2,3,"centromere complex assembly","BP"
"GO:0009408",0.0238466367983587,0.999221140878435,2,3,"response to heat","BP"
"GO:0006526",0.0239473971365469,0.999216031449746,2,3,"arginine biosynthetic process","BP"
"GO:0008053",0.0241786854020406,0.999204256784464,2,3,"mitochondrial fusion","BP"
"GO:0006357",0.0243131249933926,0.992637008578075,7,35,"regulation of transcription by RNA polymerase II","BP"
"GO:0006471",0.0247794248307334,0.997247173177946,3,8,"protein ADP-ribosylation","BP"
"GO:0006281",0.0265583141266284,0.988058237625711,13,87,"DNA repair","BP"
"GO:0006695",0.0273023141788668,0.998657300159958,2,4,"cholesterol biosynthetic process","BP"
"GO:0032218",0.0300682273688531,0.998440744440649,2,4,"riboflavin transport","BP"
"GO:0044260",0.031444290907544,0.998328637270018,2,4,"cellular macromolecule metabolic process","BP"
"GO:0032981",0.0338720109189659,0.998123951512381,2,4,"mitochondrial respiratory chain complex I assembly","BP"
"GO:0015671",0.0356657070203685,0.997967175001841,2,4,"oxygen transport","BP"
"GO:0030488",0.0360836684994506,0.997929976814294,2,4,"tRNA methylation","BP"
"GO:0050909",0.0444187147572561,0.996701677618955,2,5,"sensory perception of taste","BP"
"GO:0007264",0.0495885470469677,0.98074684507644,8,48,"small GTPase mediated signal transduction","BP"
"GO:0005634",0.000643101845594543,0.999638603770475,51,379,"nucleus","CC"
"GO:0005665",0.00510606206508804,1,2,2,"RNA polymerase II, core complex","CC"
"GO:0043189",0.00512383364145524,1,2,2,"H4/H2A histone acetyltransferase complex","CC"
"GO:0036038",0.00670071730105174,1,2,2,"MKS complex","CC"
"GO:0000139",0.00845139265364375,0.997970199822262,7,30,"Golgi membrane","CC"
"GO:0032039",0.00855942872516002,1,2,2,"integrator complex","CC"
"GO:0016592",0.00888607989995504,0.997855636745499,7,29,"mediator complex","CC"
"GO:0005765",0.0129486960419861,0.998946118334827,3,7,"lysosomal membrane","CC"
"GO:0000775",0.0223794848270604,0.997610773019768,3,8,"chromosome, centromeric region","CC"
"GO:0016593",0.0230244955708095,0.999262370193536,2,3,"Cdc73/Paf1 complex","CC"
"GO:0008023",0.0239304509820473,0.999216891625621,2,3,"transcription elongation factor complex","CC"
"GO:0008408",2.18922372649264e-08,0.999999998251343,13,26,"3'-5' exonuclease activity","MF"
"GO:0015165",2.50952524812607e-05,0.999999616610252,5,6,"pyrimidine nucleotide-sugar transmembrane transporter activity","MF"
"GO:0018024",0.000254000391047439,0.999987803315135,5,8,"histone-lysine N-methyltransferase activity","MF"
"GO:0000175",0.000591829399673569,1,3,3,"3'-5'-exoribonuclease activity","MF"
"GO:0004725",0.000874041911011702,0.999737966415187,14,62,"protein tyrosine phosphatase activity","MF"
"GO:0003917",0.00210792631299997,0.999953684886349,3,4,"DNA topoisomerase type I (single strand cut, ATP-independent) activity","MF"
"GO:0070290",0.00367812728234583,0.999855718011996,3,5,"N-acylphosphatidylethanolamine-specific phospholipase D activity","MF"
"GO:0046872",0.00383276465170646,0.997735385304822,44,338,"metal ion binding","MF"
"GO:0016717",0.00399088761384132,0.999638767899903,4,10,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water","MF"
"GO:0016787",0.00412965936338342,0.997947245041634,26,183,"hydrolase activity","MF"
"GO:0005347",0.00516693014982191,0.999075989664633,6,20,"ATP transmembrane transporter activity","MF"
"GO:0009019",0.00561650292831799,1,2,2,"tRNA (guanine-N1-)-methyltransferase activity","MF"
"GO:0016757",0.00662510421687678,0.998106092720041,9,43,"transferase activity, transferring glycosyl groups","MF"
"GO:0046982",0.00662627270971254,0.998105705062421,9,43,"protein heterodimerization activity","MF"
"GO:0008017",0.00670891377655568,0.997314493148336,15,83,"microtubule binding","MF"
"GO:0004421",0.00712532509344006,1,2,2,"hydroxymethylglutaryl-CoA synthase activity","MF"
"GO:0097020",0.00713141370427151,1,2,2,"COPII adaptor activity","MF"
"GO:0035240",0.00794330161439681,1,2,2,"dopamine binding","MF"
"GO:0072544",0.00794330161439681,1,2,2,"L-DOPA binding","MF"
"GO:0072545",0.00794330161439681,1,2,2,"tyrosine binding","MF"
"GO:0003991",0.00846248346107942,1,2,2,"acetylglutamate kinase activity","MF"
"GO:0003868",0.00846379866091153,1,2,2,"4-hydroxyphenylpyruvate dioxygenase activity","MF"
"GO:0004018",0.00847672687784785,1,2,2,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","MF"
"GO:0004748",0.00847813971929207,1,2,2,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","MF"
"GO:0004587",0.00848430555891656,1,2,2,"ornithine-oxo-acid transaminase activity","MF"
"GO:0030371",0.0085435133344983,1,2,2,"translation repressor activity","MF"
"GO:0016409",0.00877797445017896,0.998190096111485,6,23,"palmitoyltransferase activity","MF"
"GO:0051087",0.00908376107912219,0.998914946565179,4,11,"chaperone binding","MF"
"GO:0004449",0.0113046276307857,0.999204797252996,3,6,"isocitrate dehydrogenase (NAD+) activity","MF"
"GO:0008168",0.0121844317007562,0.994545589537703,16,106,"methyltransferase activity","MF"
"GO:0017150",0.0131288002202132,0.998248402567927,4,11,"tRNA dihydrouridine synthase activity","MF"
"GO:0003956",0.0147797605669906,0.999627963817243,2,3,"NAD(P)+-protein-arginine ADP-ribosyltransferase activity","MF"
"GO:0003725",0.0160292113878927,0.999578448910213,2,3,"double-stranded RNA binding","MF"
"GO:0005515",0.0170910023308452,0.985329682641865,351,3720,"protein binding","MF"
"GO:0017064",0.0176044247255118,0.999512909365039,2,3,"fatty acid amide hydrolase activity","MF"
"GO:0003777",0.017888632183032,0.992433663314034,13,78,"microtubule motor activity","MF"
"GO:0003723",0.0231337251251175,0.986081384122233,30,239,"RNA binding","MF"
"GO:0016773",0.0237356865308993,0.997407158217988,3,8,"phosphotransferase activity, alcohol group as acceptor","MF"
"GO:0003953",0.0238425869604354,0.999221345984069,2,3,"NAD+ nucleosidase activity","MF"
"GO:0004631",0.0273023141788668,0.998657300159958,2,4,"phosphomevalonate kinase activity","MF"
"GO:0032217",0.0300682273688531,0.998440744440649,2,4,"riboflavin transmembrane transporter activity","MF"
"GO:0003824",0.030395022334393,0.982882762938705,22,176,"catalytic activity","MF"
"GO:0004659",0.0307747917894669,0.998383538605226,2,4,"prenyltransferase activity","MF"
"GO:0017017",0.0308271040345468,0.998379273148459,2,4,"MAP kinase tyrosine/serine/threonine phosphatase activity","MF"
"GO:0003697",0.0324704899046715,0.992013761108471,5,23,"single-stranded DNA binding","MF"
"GO:0016972",0.0327929491394039,0.998216005960351,2,4,"thiol oxidase activity","MF"
"GO:0005096",0.0345571411730236,0.988724056256483,7,35,"GTPase activator activity","MF"
"GO:0009374",0.0355535836105152,0.997977111254633,2,4,"biotin binding","MF"
"GO:0001671",0.0401595553724898,0.997554273401129,2,4,"ATPase activator activity","MF"
"GO:0000166",0.048759249061028,0.984435927332631,6,31,"nucleotide binding","MF"
"GO:0070122",0.0488536342180639,0.989159488414218,4,16,"isopeptidase activity","MF"
