"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0007034",1.42504935950617e-05,0.999998927051794,9,14,"vacuolar transport","BP"
"GO:0046416",2.16077907504344e-05,1,6,6,"D-amino acid metabolic process","BP"
"GO:0000077",7.58740585987307e-05,0.999995580037384,7,10,"DNA damage checkpoint","BP"
"GO:0035556",0.000183585269928251,0.999915747677176,39,146,"intracellular signal transduction","BP"
"GO:0051382",0.000551899634821402,0.99997402196695,5,7,"kinetochore assembly","BP"
"GO:0006281",0.000895437627514149,0.999643568151164,23,87,"DNA repair","BP"
"GO:0006260",0.000935731407863453,0.999720981241449,15,45,"DNA replication","BP"
"GO:0000387",0.00114195822425679,0.999877065250297,6,12,"spliceosomal snRNP assembly","BP"
"GO:0000122",0.00161628409513369,0.999967733756234,3,4,"negative regulation of transcription by RNA polymerase II","BP"
"GO:0006470",0.00236721358840177,0.999146594987254,17,55,"protein dephosphorylation","BP"
"GO:0016579",0.00259824092585684,0.99914219746927,15,43,"protein deubiquitination","BP"
"GO:0006352",0.00283896255971641,0.999600242312729,6,14,"DNA-templated transcription, initiation","BP"
"GO:0019700",0.00326392206176125,1,3,3,"organic phosphonate catabolic process","BP"
"GO:0043044",0.00497231745943432,1,3,3,"ATP-dependent chromatin remodeling","BP"
"GO:0007096",0.00563343116697416,1,2,2,"regulation of exit from mitosis","BP"
"GO:0008033",0.00629613832131434,0.998375842695904,9,25,"tRNA processing","BP"
"GO:0071479",0.00646244115171373,1,2,2,"cellular response to ionizing radiation","BP"
"GO:0045944",0.00788583188588031,0.999302551484754,4,7,"positive regulation of transcription by RNA polymerase II","BP"
"GO:0006333",0.00819239593527657,1,2,2,"chromatin assembly or disassembly","BP"
"GO:1902600",0.00820934067664822,0.998246825887892,7,18,"proton transmembrane transport","BP"
"GO:0034314",0.00827775318379872,0.999175669422038,4,8,"Arp2/3 complex-mediated actin nucleation","BP"
"GO:0006481",0.00850007449977529,1,2,2,"C-terminal protein methylation","BP"
"GO:0006397",0.00882381556462922,0.9969843963485,12,38,"mRNA processing","BP"
"GO:0009116",0.00889372097382054,0.997764223934121,8,23,"nucleoside metabolic process","BP"
"GO:0006606",0.00903643160940711,0.998851130085206,5,9,"protein import into nucleus","BP"
"GO:0006511",0.00944613878596637,0.995763572661279,19,70,"ubiquitin-dependent protein catabolic process","BP"
"GO:0006506",0.0094514387856095,0.998184956047781,6,16,"GPI anchor biosynthetic process","BP"
"GO:0031023",0.010014012302265,1,2,2,"microtubule organizing center organization","BP"
"GO:0006556",0.0106136847716142,1,2,2,"S-adenosylmethionine biosynthetic process","BP"
"GO:0098703",0.0109638601075322,1,2,2,"calcium ion import across plasma membrane","BP"
"GO:0006493",0.0122728368210823,0.999476763363407,3,4,"protein O-linked glycosylation","BP"
"GO:0006120",0.013560275295582,1,2,2,"mitochondrial electron transport, NADH to ubiquinone","BP"
"GO:0006226",0.0138655975658892,1,2,2,"dUMP biosynthetic process","BP"
"GO:0046081",0.0138655975658892,1,2,2,"dUTP catabolic process","BP"
"GO:0007098",0.0142487697270937,0.998487257665182,4,7,"centrosome cycle","BP"
"GO:0023052",0.0151276374994795,0.999299452167664,3,4,"signaling","BP"
"GO:0006269",0.0171354716527742,0.999165924508775,3,4,"DNA replication, synthesis of RNA primer","BP"
"GO:0045132",0.0172628994747278,1,2,2,"meiotic chromosome segregation","BP"
"GO:0030036",0.0173498644063727,0.999151259115814,3,4,"actin cytoskeleton organization","BP"
"GO:0051225",0.017424638946181,0.997015341531098,5,11,"spindle assembly","BP"
"GO:0006810",0.0176265079291993,1,2,2,"transport","BP"
"GO:0006457",0.0182860640702464,0.992248802753966,14,55,"protein folding","BP"
"GO:0048478",0.018814698556977,1,2,2,"replication fork protection","BP"
"GO:0009058",0.0196879362665153,0.991628249863271,14,52,"biosynthetic process","BP"
"GO:0001932",0.0201638727189883,1,2,2,"regulation of protein phosphorylation","BP"
"GO:0006231",0.0204766175358783,1,2,2,"dTMP biosynthetic process","BP"
"GO:0048193",0.0207572181448298,0.99842836261194,3,5,"Golgi vesicle transport","BP"
"GO:0055114",0.0212543326498443,0.983259387088934,135,819,"oxidation-reduction process","BP"
"GO:0006182",0.0224790018908907,0.994838202302774,6,15,"cGMP biosynthetic process","BP"
"GO:0043065",0.023237303472604,1,2,2,"positive regulation of apoptotic process","BP"
"GO:0001919",0.0241316910580244,1,2,2,"regulation of receptor recycling","BP"
"GO:0007040",0.0241316910580244,1,2,2,"lysosome organization","BP"
"GO:0042632",0.0241316910580244,1,2,2,"cholesterol homeostasis","BP"
"GO:0043410",0.0241316910580244,1,2,2,"positive regulation of MAPK cascade","BP"
"GO:0046168",0.024337171200203,1,2,2,"glycerol-3-phosphate catabolic process","BP"
"GO:0002098",0.0246492838489773,0.996551370726809,4,8,"tRNA wobble uridine modification","BP"
"GO:0006007",0.0256174339299969,1,2,2,"glucose catabolic process","BP"
"GO:0006172",0.0272209533252444,1,2,2,"ADP biosynthetic process","BP"
"GO:0000723",0.0275392665406257,0.99290779833249,6,19,"telomere maintenance","BP"
"GO:0000725",0.0276692867402042,1,2,2,"recombinational repair","BP"
"GO:0048034",0.0283881171440157,1,2,2,"heme O biosynthetic process","BP"
"GO:0000902",0.0283931402791857,0.997561092656443,3,5,"cell morphogenesis","BP"
"GO:0006567",0.028472473533562,1,2,2,"threonine catabolic process","BP"
"GO:0006535",0.0286927585578257,1,2,2,"cysteine biosynthetic process from serine","BP"
"GO:1902751",0.02869730140347,1,2,2,"positive regulation of cell cycle G2/M phase transition","BP"
"GO:0006072",0.0287951475352589,1,2,2,"glycerol-3-phosphate metabolic process","BP"
"GO:0006360",0.0288141699005384,1,2,2,"transcription by RNA polymerase I","BP"
"GO:0007624",0.0289603673295505,1,2,2,"ultradian rhythm","BP"
"GO:0006499",0.029095887520244,1,2,2,"N-terminal protein myristoylation","BP"
"GO:0007163",0.0291215699049167,1,2,2,"establishment or maintenance of cell polarity","BP"
"GO:0031124",0.0291245184685128,1,2,2,"mRNA 3'-end processing","BP"
"GO:0009052",0.0291413809853598,1,2,2,"pentose-phosphate shunt, non-oxidative branch","BP"
"GO:0034969",0.0291443276324547,1,2,2,"histone arginine methylation","BP"
"GO:0030705",0.0291444231883864,1,2,2,"cytoskeleton-dependent intracellular transport","BP"
"GO:0016192",0.0299347098477635,0.984559666896224,19,79,"vesicle-mediated transport","BP"
"GO:0006468",0.0300170499463978,0.976651026461929,111,615,"protein phosphorylation","BP"
"GO:0006520",0.0330857867071452,0.990022977115458,7,22,"cellular amino acid metabolic process","BP"
"GO:0022900",0.0353627147166044,0.998561367151364,2,3,"electron transport chain","BP"
"GO:0006807",0.0353849585745586,0.991784852703659,5,15,"nitrogen compound metabolic process","BP"
"GO:0046488",0.036232295580206,0.996559017751413,3,5,"phosphatidylinositol metabolic process","BP"
"GO:0005978",0.0378207392072218,0.996343318021576,3,5,"glycogen biosynthetic process","BP"
"GO:0000079",0.0440487109216761,0.997969906544824,2,3,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"GO:0006351",0.0485505383917681,0.979611918170316,10,41,"transcription, DNA-templated","BP"
"GO:0005634",2.95202884970213e-05,0.999983479904966,82,379,"nucleus","CC"
"GO:0005829",7.71564434163095e-05,0.999988537181815,11,22,"cytosol","CC"
"GO:0031966",0.000317781709045815,0.999991396684244,5,6,"mitochondrial membrane","CC"
"GO:0033178",0.00129944604048859,1,3,3,"proton-transporting two-sector ATPase complex, catalytic domain","CC"
"GO:0005685",0.0021597261056373,0.999927082381913,4,5,"U1 snRNP","CC"
"GO:0032299",0.00286525780009854,1,3,3,"ribonuclease H2 complex","CC"
