"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006334",5.73437999224509e-17,1,30,41,"nucleosome assembly","BP"
"GO:0006355",3.56866796456539e-13,1,121,465,"regulation of transcription, DNA-templated","BP"
"GO:0006275",3.78863103692651e-05,1,5,5,"regulation of DNA replication","BP"
"GO:0006471",6.63919530283519e-05,0.999997478177326,6,8,"protein ADP-ribosylation","BP"
"GO:0006265",7.9698903886404e-05,0.999996864093277,6,8,"DNA topological change","BP"
"GO:0008033",0.000136769526992189,0.999976845094449,11,25,"tRNA processing","BP"
"GO:0006368",0.000193849834105825,0.999995319196795,5,6,"transcription elongation from RNA polymerase II promoter","BP"
"GO:0090481",0.000206044613468241,0.999994954445412,5,6,"pyrimidine nucleotide-sugar transmembrane transport","BP"
"GO:0006888",0.000266283116668924,0.999975936396949,7,12,"endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"GO:0006351",0.000355157262882328,0.999909641431181,14,41,"transcription, DNA-templated","BP"
"GO:0035556",0.000375854763639616,0.999830025036291,33,146,"intracellular signal transduction","BP"
"GO:0042254",0.00101538087602455,0.999838352242796,8,18,"ribosome biogenesis","BP"
"GO:0006352",0.00117111340889984,0.9998456427726,7,14,"DNA-templated transcription, initiation","BP"
"GO:0009408",0.00213892256759458,1,3,3,"response to heat","BP"
"GO:0034508",0.00219358751849217,1,3,3,"centromere complex assembly","BP"
"GO:0000413",0.0022006973570613,0.999584615554359,8,20,"protein peptidyl-prolyl isomerization","BP"
"GO:0046856",0.00234836208956765,0.999787052173709,5,9,"phosphatidylinositol dephosphorylation","BP"
"GO:0006281",0.00305784770420114,0.998695843149119,21,87,"DNA repair","BP"
"GO:0006139",0.0039059205123853,0.998874596877853,11,35,"nucleobase-containing compound metabolic process","BP"
"GO:0001522",0.0039358660751722,0.999426037784012,6,13,"pseudouridine synthesis","BP"
"GO:0016311",0.00403656077090607,0.999249542284754,7,18,"dephosphorylation","BP"
"GO:0000398",0.00486772807119486,0.998657620189802,10,31,"mRNA splicing, via spliceosome","BP"
"GO:0006364",0.00498429528791653,0.998883769485646,8,22,"rRNA processing","BP"
"GO:0006396",0.00694180293826845,0.997521418415799,13,49,"RNA processing","BP"
"GO:0006357",0.0107390912525156,0.996577379658407,10,35,"regulation of transcription by RNA polymerase II","BP"
"GO:0016070",0.0136377322860759,1,2,2,"RNA metabolic process","BP"
"GO:0034968",0.0153962074386743,0.998963784887082,3,5,"histone lysine methylation","BP"
"GO:0016180",0.0163681635673893,1,2,2,"snRNA processing","BP"
"GO:0017148",0.0165163950305348,1,2,2,"negative regulation of translation","BP"
"GO:0043488",0.0165163950305348,1,2,2,"regulation of mRNA stability","BP"
"GO:0006623",0.0167393393320766,1,2,2,"protein targeting to vacuole","BP"
"GO:0009152",0.0168069837257893,1,2,2,"purine ribonucleotide biosynthetic process","BP"
"GO:0006784",0.0170005826635418,1,2,2,"heme A biosynthetic process","BP"
"GO:0006480",0.0170873108761716,1,2,2,"N-terminal protein amino acid methylation","BP"
"GO:0007051",0.017383603208735,1,2,2,"spindle organization","BP"
"GO:0071816",0.0175379124737738,1,2,2,"tail-anchored membrane protein insertion into ER membrane","BP"
"GO:0009298",0.0177897680312178,1,2,2,"GDP-mannose biosynthetic process","BP"
"GO:0006397",0.0182707091636123,0.993576803841387,10,38,"mRNA processing","BP"
"GO:0046654",0.0186290103694923,0.998648710454034,3,5,"tetrahydrofolate biosynthetic process","BP"
"GO:0008630",0.0195833614349847,1,2,2,"intrinsic apoptotic signaling pathway in response to DNA damage","BP"
"GO:0097192",0.0195833614349847,1,2,2,"extrinsic apoptotic signaling pathway in absence of ligand","BP"
"GO:0034080",0.020531637621927,1,2,2,"CENP-A containing nucleosome assembly","BP"
"GO:0031145",0.0226567781999066,1,2,2,"anaphase-promoting complex-dependent catabolic process","BP"
"GO:0006457",0.0230548294932762,0.990187174420279,13,55,"protein folding","BP"
"GO:0006164",0.0281542712805302,0.997172726767575,3,6,"purine nucleotide biosynthetic process","BP"
"GO:0008299",0.0313044761668099,0.994706043025606,4,10,"isoprenoid biosynthetic process","BP"
"GO:0008053",0.040301075703385,0.998234470206556,2,3,"mitochondrial fusion","BP"
"GO:0000012",0.0422047893347676,0.998101806918046,2,3,"single strand break repair","BP"
"GO:0006526",0.0439020483355487,0.997980472350684,2,3,"arginine biosynthetic process","BP"
"GO:0018344",0.0448443279406102,0.997911878687261,2,3,"protein geranylgeranylation","BP"
"GO:0042274",0.0454440154473003,0.997867769634008,2,3,"ribosomal small subunit biogenesis","BP"
"GO:0016570",0.0467516599457167,0.997770369471956,2,3,"histone modification","BP"
"GO:0000290",0.046796046030702,0.997767034168139,2,3,"deadenylation-dependent decapping of nuclear-transcribed mRNA","BP"
"GO:0006284",0.0476970518518357,0.990408979722879,4,11,"base-excision repair","BP"
