lifestage,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
Unfertilized_egg,GO:0007034,1.42504935950617e-5,0.999998927051794,9,14,vacuolar transport,BP
Unfertilized_egg,GO:0046416,2.16077907504344e-5,1,6,6,D-amino acid metabolic process,BP
Unfertilized_egg,GO:0000077,7.58740585987307e-5,0.999995580037384,7,10,DNA damage checkpoint,BP
Unfertilized_egg,GO:0035556,1.83585269928251e-4,0.999915747677176,39,146,intracellular signal transduction,BP
Unfertilized_egg,GO:0051382,5.51899634821402e-4,0.99997402196695,5,7,kinetochore assembly,BP
Unfertilized_egg,GO:0006281,8.95437627514149e-4,0.999643568151164,23,87,DNA repair,BP
Unfertilized_egg,GO:0006260,9.35731407863453e-4,0.999720981241449,15,45,DNA replication,BP
Unfertilized_egg,GO:0000387,0.00114195822425679,0.999877065250297,6,12,spliceosomal snRNP assembly,BP
Unfertilized_egg,GO:0000122,0.00161628409513369,0.999967733756234,3,4,negative regulation of transcription by RNA polymerase II,BP
Unfertilized_egg,GO:0006470,0.00236721358840177,0.999146594987254,17,55,protein dephosphorylation,BP
Unfertilized_egg,GO:0016579,0.00259824092585684,0.99914219746927,15,43,protein deubiquitination,BP
Unfertilized_egg,GO:0006352,0.00283896255971641,0.999600242312729,6,14,"DNA-templated transcription, initiation",BP
Unfertilized_egg,GO:0019700,0.00326392206176125,1,3,3,organic phosphonate catabolic process,BP
Unfertilized_egg,GO:0043044,0.00497231745943432,1,3,3,ATP-dependent chromatin remodeling,BP
Unfertilized_egg,GO:0007096,0.00563343116697416,1,2,2,regulation of exit from mitosis,BP
Unfertilized_egg,GO:0008033,0.00629613832131434,0.998375842695904,9,25,tRNA processing,BP
Unfertilized_egg,GO:0071479,0.00646244115171373,1,2,2,cellular response to ionizing radiation,BP
Unfertilized_egg,GO:0045944,0.00788583188588031,0.999302551484754,4,7,positive regulation of transcription by RNA polymerase II,BP
Unfertilized_egg,GO:0006333,0.00819239593527657,1,2,2,chromatin assembly or disassembly,BP
Unfertilized_egg,GO:1902600,0.00820934067664822,0.998246825887892,7,18,proton transmembrane transport,BP
Unfertilized_egg,GO:0034314,0.00827775318379872,0.999175669422038,4,8,Arp2/3 complex-mediated actin nucleation,BP
Unfertilized_egg,GO:0006481,0.00850007449977529,1,2,2,C-terminal protein methylation,BP
Unfertilized_egg,GO:0006397,0.00882381556462922,0.9969843963485,12,38,mRNA processing,BP
Unfertilized_egg,GO:0009116,0.00889372097382054,0.997764223934121,8,23,nucleoside metabolic process,BP
Unfertilized_egg,GO:0006606,0.00903643160940711,0.998851130085206,5,9,protein import into nucleus,BP
Unfertilized_egg,GO:0006511,0.00944613878596637,0.995763572661279,19,70,ubiquitin-dependent protein catabolic process,BP
Unfertilized_egg,GO:0006506,0.0094514387856095,0.998184956047781,6,16,GPI anchor biosynthetic process,BP
Unfertilized_egg,GO:0031023,0.010014012302265,1,2,2,microtubule organizing center organization,BP
Unfertilized_egg,GO:0006556,0.0106136847716142,1,2,2,S-adenosylmethionine biosynthetic process,BP
Unfertilized_egg,GO:0098703,0.0109638601075322,1,2,2,calcium ion import across plasma membrane,BP
Unfertilized_egg,GO:0006493,0.0122728368210823,0.999476763363407,3,4,protein O-linked glycosylation,BP
Unfertilized_egg,GO:0006120,0.013560275295582,1,2,2,"mitochondrial electron transport, NADH to ubiquinone",BP
Unfertilized_egg,GO:0006226,0.0138655975658892,1,2,2,dUMP biosynthetic process,BP
Unfertilized_egg,GO:0046081,0.0138655975658892,1,2,2,dUTP catabolic process,BP
Unfertilized_egg,GO:0007098,0.0142487697270937,0.998487257665182,4,7,centrosome cycle,BP
Unfertilized_egg,GO:0023052,0.0151276374994795,0.999299452167664,3,4,signaling,BP
Unfertilized_egg,GO:0006269,0.0171354716527742,0.999165924508775,3,4,"DNA replication, synthesis of RNA primer",BP
Unfertilized_egg,GO:0045132,0.0172628994747278,1,2,2,meiotic chromosome segregation,BP
Unfertilized_egg,GO:0030036,0.0173498644063727,0.999151259115814,3,4,actin cytoskeleton organization,BP
Unfertilized_egg,GO:0051225,0.017424638946181,0.997015341531098,5,11,spindle assembly,BP
Unfertilized_egg,GO:0006810,0.0176265079291993,1,2,2,transport,BP
Unfertilized_egg,GO:0006457,0.0182860640702464,0.992248802753966,14,55,protein folding,BP
Unfertilized_egg,GO:0048478,0.018814698556977,1,2,2,replication fork protection,BP
Unfertilized_egg,GO:0009058,0.0196879362665153,0.991628249863271,14,52,biosynthetic process,BP
Unfertilized_egg,GO:0001932,0.0201638727189883,1,2,2,regulation of protein phosphorylation,BP
Unfertilized_egg,GO:0006231,0.0204766175358783,1,2,2,dTMP biosynthetic process,BP
Unfertilized_egg,GO:0048193,0.0207572181448298,0.99842836261194,3,5,Golgi vesicle transport,BP
Unfertilized_egg,GO:0055114,0.0212543326498443,0.983259387088934,135,819,oxidation-reduction process,BP
Unfertilized_egg,GO:0006182,0.0224790018908907,0.994838202302774,6,15,cGMP biosynthetic process,BP
Unfertilized_egg,GO:0043065,0.023237303472604,1,2,2,positive regulation of apoptotic process,BP
Unfertilized_egg,GO:0001919,0.0241316910580244,1,2,2,regulation of receptor recycling,BP
Unfertilized_egg,GO:0007040,0.0241316910580244,1,2,2,lysosome organization,BP
Unfertilized_egg,GO:0042632,0.0241316910580244,1,2,2,cholesterol homeostasis,BP
Unfertilized_egg,GO:0043410,0.0241316910580244,1,2,2,positive regulation of MAPK cascade,BP
Unfertilized_egg,GO:0046168,0.024337171200203,1,2,2,glycerol-3-phosphate catabolic process,BP
Unfertilized_egg,GO:0002098,0.0246492838489773,0.996551370726809,4,8,tRNA wobble uridine modification,BP
Unfertilized_egg,GO:0006007,0.0256174339299969,1,2,2,glucose catabolic process,BP
Unfertilized_egg,GO:0006172,0.0272209533252444,1,2,2,ADP biosynthetic process,BP
Unfertilized_egg,GO:0000723,0.0275392665406257,0.99290779833249,6,19,telomere maintenance,BP
Unfertilized_egg,GO:0000725,0.0276692867402042,1,2,2,recombinational repair,BP
Unfertilized_egg,GO:0048034,0.0283881171440157,1,2,2,heme O biosynthetic process,BP
Unfertilized_egg,GO:0000902,0.0283931402791857,0.997561092656443,3,5,cell morphogenesis,BP
Unfertilized_egg,GO:0006567,0.028472473533562,1,2,2,threonine catabolic process,BP
Unfertilized_egg,GO:0006535,0.0286927585578257,1,2,2,cysteine biosynthetic process from serine,BP
Unfertilized_egg,GO:1902751,0.02869730140347,1,2,2,positive regulation of cell cycle G2/M phase transition,BP
Unfertilized_egg,GO:0006072,0.0287951475352589,1,2,2,glycerol-3-phosphate metabolic process,BP
Unfertilized_egg,GO:0006360,0.0288141699005384,1,2,2,transcription by RNA polymerase I,BP
Unfertilized_egg,GO:0007624,0.0289603673295505,1,2,2,ultradian rhythm,BP
Unfertilized_egg,GO:0006499,0.029095887520244,1,2,2,N-terminal protein myristoylation,BP
Unfertilized_egg,GO:0007163,0.0291215699049167,1,2,2,establishment or maintenance of cell polarity,BP
Unfertilized_egg,GO:0031124,0.0291245184685128,1,2,2,mRNA 3'-end processing,BP
