"time_point","term","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"Maternal","D-amino-acid oxidase activity","GO:0003884",2.56312970764545e-05,1,6,6
"Maternal","phosphatidylinositol binding","GO:0035091",0.000269359206383308,0.999921010684811,18,49
"Maternal","protein serine/threonine kinase activity","GO:0004674",0.000434887443247595,0.999850617677498,21,62
"Maternal","proton transmembrane transporter activity","GO:0015078",0.000498763925418509,0.999935994258834,8,15
"Maternal","protein disulfide oxidoreductase activity","GO:0015035",0.000891209782374549,0.999834870379749,9,23
"Maternal","protein tyrosine phosphatase activity","GO:0004725",0.00118932997208336,0.999563030008622,20,62
"Maternal","damaged DNA binding","GO:0003684",0.00134939659559676,0.999747442542213,9,20
"Maternal","magnesium ion binding","GO:0000287",0.00138886751025959,0.999553391115647,16,46
"Maternal","gamma-tubulin binding","GO:0043015",0.00145488115714494,0.999873396135496,6,9
"Maternal","microtubule binding","GO:0008017",0.00166563770570368,0.99928665935289,25,83
"Maternal","identical protein binding","GO:0042802",0.00179996372902081,0.99988758153983,5,7
"Maternal","thiol-dependent ubiquitin-specific protease activity","GO:0004843",0.00272291671939493,0.999017237814447,17,51
"Maternal","chromatin binding","GO:0003682",0.00288369970840293,0.999570421589658,7,13
"Maternal","ubiquitin protein ligase activity","GO:0061630",0.00289001134792362,0.99934245929377,9,25
"Maternal","glutathione transferase activity","GO:0004364",0.00305752936771783,0.999681007340553,5,10
"Maternal","RNA-DNA hybrid ribonuclease activity","GO:0004523",0.00396374618720138,0.999714338609799,4,7
"Maternal","phosphoric ester hydrolase activity","GO:0042578",0.00411430254344324,0.999831635430674,4,5
"Maternal","protein kinase activity","GO:0004672",0.00437293500454998,0.997057165271838,78,389
"Maternal","folic acid binding","GO:0005542",0.00470901316191929,0.999860848406601,3,4
"Maternal","transaminase activity","GO:0008483",0.00471295904418437,0.999546584003634,5,8
"Maternal","superoxide dismutase activity","GO:0004784",0.00495965789924767,1,3,3
"Maternal","GTPase regulator activity","GO:0030695",0.00544447738357112,1,3,3
"Maternal","cytochrome-c oxidase activity","GO:0004129",0.00571680647409764,0.999265559164026,5,11
"Maternal","nucleoside-diphosphatase activity","GO:0017110",0.00624194268025882,1,2,2
"Maternal","transcription corepressor activity","GO:0003714",0.00741753215155076,0.999739765108432,3,4
"Maternal","NAD binding","GO:0051287",0.0077155804301094,0.997750121784754,10,29
"Maternal","actin binding","GO:0003779",0.00903298985668839,0.996888224388587,12,39
"Maternal","protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity","GO:0004671",0.00929018610583493,1,2,2
"Maternal","phosphatase activity","GO:0016791",0.00976292667217517,0.996774674461746,11,36
"Maternal","aminoacyl-tRNA hydrolase activity","GO:0004045",0.0101511813838473,0.999418261412663,3,5
"Maternal","methionine adenosyltransferase activity","GO:0004478",0.0113723822412973,1,2,2
"Maternal","protein-containing complex binding","GO:0044877",0.0115963704583341,0.999516466436746,3,4
"Maternal","telomeric DNA binding","GO:0042162",0.0121545174466661,0.999483768473166,3,4
"Maternal","pyridoxal phosphate binding","GO:0030170",0.0141317248496829,0.993537495426634,18,66
"Maternal","phosphatidylinositol N-acetylglucosaminyltransferase activity","GO:0017176",0.014184533498545,0.999075359928645,3,5
"Maternal","structural constituent of nuclear pore","GO:0017056",0.0144937335521922,0.998452942719327,4,7
"Maternal","dUTP diphosphatase activity","GO:0004170",0.0150713051155335,1,2,2
"Maternal","diacylglycerol O-acyltransferase activity","GO:0004144",0.0152625433629878,0.995858763469659,7,31
"Maternal","glucose-6-phosphate dehydrogenase activity","GO:0004345",0.0177010450871406,1,2,2
"Maternal","transcription coactivator activity","GO:0003713",0.0187295241369301,0.996497049000699,5,13
"Maternal","oxidoreductase activity, acting on the CH-CH group of donors","GO:0016627",0.020794441825063,0.995313108233806,6,15
"Maternal","thymidylate synthase activity","GO:0004799",0.0217931663275806,1,2,2
"Maternal","1-acylglycerol-3-phosphate O-acyltransferase activity","GO:0003841",0.0221609610659869,1,2,2
"Maternal","DNA helicase activity","GO:0003678",0.0222314913335063,0.992630234561305,9,29
"Maternal","phosphoribosylamine-glycine ligase activity","GO:0004637",0.0226998851114377,1,2,2
"Maternal","urease activity","GO:0009039",0.0231846164899685,1,2,2
"Maternal","2-aminoethylphosphonate-pyruvate transaminase activity","GO:0047304",0.0235063181391767,1,2,2
"Maternal","protein tyrosine/serine/threonine phosphatase activity","GO:0008138",0.0239241148813894,0.993346644986877,7,21
"Maternal","Lys48-specific deubiquitinase activity","GO:1990380",0.0239688383344431,1,2,2
"Maternal","SNAP receptor activity","GO:0005484",0.0241062098062489,0.996651547424987,4,8
"Maternal","translation initiation factor activity","GO:0003743",0.0241131781436454,0.990762025561734,11,38
"Maternal","ATP binding","GO:0005524",0.0241774641558835,0.979659694044845,251,1441
"Maternal","phosphoglycerate dehydrogenase activity","GO:0004617",0.0245739880471255,1,2,2
"Maternal","2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity","GO:0008425",0.0245985362907448,1,2,2
"Maternal","glycerol-3-phosphate dehydrogenase [NAD+] activity","GO:0004367",0.0256552848069622,1,2,2
"Maternal","ubiquinol-cytochrome-c reductase activity","GO:0008121",0.0258348515856375,0.999117910353279,2,3
"Maternal","ATPase-coupled cation transmembrane transporter activity","GO:0019829",0.02602809020701,0.997467179910779,3,6
"Maternal","translation repressor activity, mRNA regulatory element binding","GO:0000900",0.0261494730025376,1,2,2
"Maternal","electron transfer activity","GO:0009055",0.0262805620052577,0.990781611871051,9,34
"Maternal","phosphoglycerate mutase activity","GO:0004619",0.0269452348357379,1,2,2
"Maternal","endonuclease activity","GO:0004519",0.0281418575407494,0.994293223037334,5,12
"Maternal","mannosyltransferase activity","GO:0000030",0.0284982640975321,0.997548341258444,3,5
"Maternal","protoheme IX farnesyltransferase activity","GO:0008495",0.0298566778592564,1,2,2
"Maternal","glycine C-acetyltransferase activity","GO:0008890",0.0300359958366327,1,2,2
"Maternal","nickel cation binding","GO:0016151",0.0301495556894355,0.995191378820419,4,9
"Maternal","NAD+ binding","GO:0070403",0.0304143327377234,0.99335725542933,5,14
"Maternal","deoxynucleoside kinase activity","GO:0019136",0.0306516940891084,1,2,2
"Maternal","tryptophan 2,3-dioxygenase activity","GO:0004833",0.0307478393560306,1,2,2
"Maternal","methylmalonate-semialdehyde dehydrogenase (acylating) activity","GO:0004491",0.0308289205453496,1,2,2
"Maternal","glycylpeptide N-tetradecanoyltransferase activity","GO:0004379",0.0308624998433163,1,2,2
"Maternal","glycogen (starch) synthase activity","GO:0004373",0.0309031969770056,1,2,2
"Maternal","calcium-dependent protein kinase C activity","GO:0004698",0.0309118701128956,1,2,2
"Maternal","nucleosome binding","GO:0031491",0.0309366641142436,1,2,2
"Maternal","ribose-5-phosphate isomerase activity","GO:0004751",0.0309499631247517,1,2,2
"Maternal","3-hydroxyisobutyryl-CoA hydrolase activity","GO:0003860",0.030952729291809,1,2,2
"Maternal","histone-arginine N-methyltransferase activity","GO:0008469",0.0309556296747085,1,2,2
"Maternal","nuclear export signal receptor activity","GO:0005049",0.0309558134358473,1,2,2
"Maternal","acetyl-CoA carboxylase activity","GO:0003989",0.0309558134359644,1,2,2
"Maternal","phosphomevalonate kinase activity","GO:0004631",0.0310584201499511,0.998360054865701,2,4
"Maternal","microtubule motor activity","GO:0003777",0.0325194800824571,0.983081143852469,19,78
"Maternal","proton-transporting ATPase activity, rotational mechanism","GO:0046961",0.0340982381243249,0.996300077904923,3,6
"Maternal","guanylate cyclase activity","GO:0004383",0.0344978369975261,0.991020962096082,6,16
"Maternal","endodeoxyribonuclease activity, producing 5'-phosphomonoesters","GO:0016888",0.0348906129399589,0.998591266790618,2,3
"Maternal","adenylate kinase activity","GO:0004017",0.0350069789924086,0.996160494100084,3,6
"Maternal","phospholipid binding","GO:0005543",0.0355703950596127,0.996647639161433,3,5
"Maternal","DNA-directed DNA polymerase activity","GO:0003887",0.0367058047405342,0.989988022188938,6,18
"Maternal","ion transmembrane transporter activity","GO:0015075",0.0383326871934562,0.996272883305542,3,5
"Maternal","oxidoreductase activity","GO:0016491",0.0408260001469331,0.971610262338441,49,268
"Maternal","Rho GTPase binding","GO:0017048",0.041096319585549,0.995885697456076,3,5
"Maternal","cAMP-dependent protein kinase regulator activity","GO:0008603",0.0427722145495527,0.99806159284849,2,3
"Maternal","protein-L-isoaspartate (D-aspartate) O-methyltransferase activity","GO:0004719",0.043879635615924,0.997190816667361,2,4
"Maternal","protein heterodimerization activity","GO:0046982",0.0496741501463827,0.978942836435373,10,43
"ZGA1","DNA binding","GO:0003677",3.75872660960842e-21,1,186,690
"ZGA1","RNA binding","GO:0003723",3.91585057519043e-06,0.999998291172119,56,239
"ZGA1","3'-5' exonuclease activity","GO:0008408",1.03277998612812e-05,0.999998519280824,13,26
"ZGA1","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981",5.50927237378754e-05,0.999976194802779,39,149
"ZGA1","protein heterodimerization activity","GO:0046982",6.56221802206368e-05,0.999984564311121,16,43
"ZGA1","nucleic acid binding","GO:0003676",7.70203950608128e-05,0.999944467717123,212,1224
"ZGA1","pyrimidine nucleotide-sugar transmembrane transporter activity","GO:0015165",0.000206044613468241,0.999994954445412,5,6
"ZGA1","DNA-binding transcription factor activity","GO:0003700",0.000220263269297582,0.999889527597627,46,201
"ZGA1","catalytic activity","GO:0003824",0.000921543211559399,0.999529501702836,39,176
"ZGA1","histone-lysine N-methyltransferase activity","GO:0018024",0.00117902004189047,0.999919230903053,5,8
"ZGA1","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity","GO:0003918",0.00158737734927043,1,3,3
"ZGA1","3'-5'-exoribonuclease activity","GO:0000175",0.00224867339974193,1,3,3
"ZGA1","NAD(P)+-protein-arginine ADP-ribosyltransferase activity","GO:0003956",0.00288635515831041,1,3,3
"ZGA1","tRNA dihydrouridine synthase activity","GO:0017150",0.00672221576354883,0.999100610932355,5,11
"ZGA1","DNA-dependent ATPase activity","GO:0008094",0.00743986586573843,0.99935345867981,4,7
"ZGA1","DNA topoisomerase type I (single strand cut, ATP-independent) activity","GO:0003917",0.0078914455474707,0.999716496072755,3,4
"ZGA1","protein homodimerization activity","GO:0042803",0.00905259195610478,0.999657157173483,3,4
"ZGA1","chaperone binding","GO:0051087",0.0106422810660661,0.998399074100006,5,11
"ZGA1","isopeptidase activity","GO:0070122",0.0107353606310324,0.997878556871377,6,16
"ZGA1","microtubule binding","GO:0008017",0.0109056721309655,0.995039486573337,18,83
"ZGA1","sequence-specific DNA binding","GO:0043565",0.0143460923336939,0.992161582839649,27,127
"ZGA1","protein tyrosine phosphatase activity","GO:0004725",0.0144479662994048,0.993984668749126,14,62
"ZGA1","GTPase activity","GO:0003924",0.0149559706237511,0.990260039627395,49,270
"ZGA1","IMP dehydrogenase activity","GO:0003938",0.0159176554343878,1,2,2
"ZGA1","phosphoribosylformylglycinamidine synthase activity","GO:0004642",0.0160813772616272,1,2,2
"ZGA1","translation repressor activity","GO:0030371",0.0165163950305348,1,2,2
"ZGA1","ornithine-oxo-acid transaminase activity","GO:0004587",0.0167547620773173,1,2,2
"ZGA1","N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","GO:0004018",0.0168069837257893,1,2,2
"ZGA1","ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","GO:0004748",0.0168312538559659,1,2,2
"ZGA1","acetylglutamate kinase activity","GO:0003991",0.0168583020574217,1,2,2
"ZGA1","4-hydroxyphenylpyruvate dioxygenase activity","GO:0003868",0.0168669746618594,1,2,2
"ZGA1","dopamine binding","GO:0035240",0.0170915834110667,1,2,2
"ZGA1","L-DOPA binding","GO:0072544",0.0170915834110667,1,2,2
"ZGA1","tyrosine binding","GO:0072545",0.0170915834110667,1,2,2
"ZGA1","hydroxymethylglutaryl-CoA synthase activity","GO:0004421",0.017097654490067,1,2,2
"ZGA1","COPII adaptor activity","GO:0097020",0.0170987948523728,1,2,2
"ZGA1","tRNA (guanine-N1-)-methyltransferase activity","GO:0009019",0.0177705343853564,1,2,2
