Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
g21533	-	1	-	22321	27293	0.162060	0.076972	0.109179
g21534	-	1	+	37447	52266	3.990789	1.895464	2.688579
g21535	-	1	-	58322	62557	23.162281	11.001148	15.604342
g21536	-	1	+	64466	84798	31.325270	14.878239	21.103716
g21537	-	1	+	88347	97184	9.940476	4.721325	6.696861
g21538	-	1	-	100215	109729	123.721878	58.762894	83.350960
g21539	-	1	+	109867	128510	18.802923	8.930630	12.667459
g21540	-	1	-	132854	139285	1.000000	0.474960	0.673696
g21543	-	1	+	156444	157268	0.269697	0.128095	0.181694
adi2mcaRNA35138_R7	-	1	-	305973	306875	0.148437	0.070502	0.100001
g21554	-	1	-	323002	331686	1.986773	0.943637	1.338481
g21555	-	1	-	332282	348965	18.337963	8.709792	12.354217
g21556	-	1	+	349160	352265	16.082491	7.638534	10.834713
g21557	-	1	+	353765	356968	26.319445	12.500673	17.731310
g21559	-	1	+	396421	397020	2.114723	1.004408	1.424681
g21560	-	1	+	401783	403405	0.412200	0.195778	0.277698
g21564	-	1	+	435136	440238	2.436443	1.157212	1.641422
g21565	-	1	-	440659	443082	2.312139	1.098173	1.557679
g21566	-	1	-	443144	443635	0.296748	0.140943	0.199918
adi2mcaRNA12716_R2	-	1	-	479697	491534	0.748798	0.355649	0.504462
g21573	-	1	-	524298	537113	1.628627	0.773532	1.097200
g21574	-	1	+	560828	565350	0.265806	0.126247	0.179072
g21581	-	1	+	607804	608337	4.441947	2.109746	2.992523
g21583	-	1	+	622962	633865	76.042160	36.116955	51.229313
g21588	-	1	-	666567	668312	45.183849	21.460503	30.440187
adi2mcaRNA40589_R3	-	1	-	683868	685398	21.959660	10.429952	14.794140
g21590	-	1	-	702479	702886	0.895588	0.425368	0.603354
g21591	-	1	-	702941	704323	1.782486	0.846609	1.200854
g21592	-	1	-	707506	709230	33.510143	15.915965	22.575657
g21595	-	1	-	743708	771725	32.581402	15.474851	21.949966
g21596	-	1	-	778826	781380	19.622772	9.320024	13.219787
g21597	-	1	-	784627	785798	0.000000	0.000000	0.000000
g21598	-	1	-	785899	786207	0.365696	0.173691	0.246368
g21600	-	1	-	789380	790334	0.000000	0.000000	0.000000
g21601	-	1	-	820948	851855	0.361815	0.171848	0.243753
g21603	-	1	+	875739	924977	27.834255	13.220147	18.751833
adi2mcaRNA24085_R9	-	1	+	928080	933095	1.293698	0.614454	0.871559
g21605	-	1	+	934505	935482	0.163910	0.077851	0.110426
g21606	-	1	-	935674	936417	6.943454	3.297860	4.677779
g21607	-	1	-	938963	941032	0.056039	0.026616	0.037753
g21608	-	1	+	945184	946113	3.596774	1.708323	2.423133
g21609	-	1	-	952903	989352	90.134949	42.810459	60.723576
adi2mcaRNA13602_R4	-	1	-	1019983	1023744	0.089683	0.042596	0.060419
adi2mcaRNA24914_R2	-	1	+	1033570	1040048	1.537037	0.730031	1.035496
g21614	-	1	+	1045444	1046427	144.670731	68.712761	97.464127
g21615	-	1	+	1064077	1065057	14.465851	6.870695	9.745589
adi2mcaRNA37268_R9	-	1	-	1093244	1096926	0.150116	0.071299	0.101133
g21619	-	1	-	1101300	1101608	11.051780	5.249149	7.445542
g21620	-	1	+	1121855	1134134	1.051968	0.499642	0.708707
g21621	-	1	+	1141502	1142461	78.758331	37.407028	53.059185
g21622	-	1	-	1166624	1169197	62.770271	29.813343	42.288094
g21623	-	1	-	1169258	1175136	5.564198	2.642769	3.748579
g21628	-	1	-	1234405	1276748	25.174492	11.956866	16.959959
g21629	-	1	+	1296441	1298102	3.687726	1.751521	2.484407
g21630	-	1	-	1326918	1338740	19.062353	9.053848	12.842236
g21631	-	1	-	1347875	1349544	0.836809	0.397450	0.563755
g21632	-	1	+	1349810	1357710	8.994684	4.272111	6.059684
g21633	-	1	-	1361058	1381745	6.153617	2.922719	4.145669
g21634	-	1	+	1385571	1392430	33.786903	16.047415	22.762108
g21635	-	1	-	1396451	1417415	483.378723	229.585373	325.650391
g21636	-	1	+	1417568	1425363	60.055096	28.523746	40.458889
g21637	-	1	-	1427003	1427857	11.168421	5.304549	7.524123
g21640	-	1	-	1455017	1461600	128.434677	61.001286	86.525955
g21641	-	1	+	1461790	1482365	23.947029	11.373872	16.133022
g21642	-	1	-	1485768	1490221	131.842026	62.619637	88.821472
g21643	-	1	+	1498213	1500580	61.007248	28.975981	41.100349
g21644	-	1	-	1501925	1515543	39.050446	18.547384	26.308136
g21645	-	1	+	1515644	1593061	28.960499	13.755068	19.510578
g21648	-	1	-	1600981	1603957	227.218643	107.919678	153.076340
g21649	-	1	+	1604161	1611958	617.971497	293.511505	416.325073
g21650	-	1	-	1624523	1637721	78.310509	37.194328	52.757496
g21651	-	1	-	1639760	1648770	55.012783	26.128849	37.061905
g21652	-	1	+	1664341	1667185	92.328178	43.852158	62.201141
g21653	-	1	+	1671954	1700430	8.451958	4.014338	5.694052
g21654	-	1	+	1701166	1707078	1.510242	0.717304	1.017444
g21655	-	1	-	1709460	1721830	15.593514	7.406290	10.505291
g21656	-	1	+	1721906	1725879	75.871086	36.035702	51.114063
g21657	-	1	-	1726722	1735015	79.995132	37.994457	53.892418
g21658	-	1	+	1737732	1742672	217.015152	103.073433	146.202286
g21659	-	1	-	1749946	1765665	37.595264	17.856232	25.327785
g21660	-	1	+	1765998	1773941	24.624535	11.695660	16.589455
g21661	-	1	-	1775583	1779292	450.325256	213.886307	303.382416
g21662	-	1	+	1779355	1781634	421.451263	200.172333	283.930115
g21663	-	1	+	1788594	1809349	25.535753	12.128452	17.203341
g21664	-	1	+	1817015	1818862	51.536530	24.477772	34.719963
g21665	-	1	+	1821776	1822537	21.967192	10.433529	14.799213
g21666	-	1	-	1823732	1824430	53.989986	25.643063	36.372849
g21667	-	1	+	1824608	1835679	58.219448	27.651886	39.222221
adi2mcaRNA15974_R0	-	1	-	1838697	1847254	47.803200	22.704590	32.204834
g21669	-	1	+	1847388	1850319	18.688976	8.876510	12.590693
g21671	-	1	+	1856734	1862442	2.276382	1.081190	1.533590
g21672	-	1	+	1869053	1873028	19.986773	9.492909	13.465013
g21673	-	1	-	1874738	1876989	85.317947	40.522579	57.478374
g21674	-	1	+	1877095	1882171	15.380144	7.304947	10.361545
g21675	-	1	-	1883336	1889435	9.040453	4.293850	6.090519
adi2mcaRNA15965_R0	-	1	+	1892664	1901226	25.673077	12.193675	17.295855
g21677	-	1	-	1902335	1909826	35.782730	16.995352	24.106691
g21678	-	1	-	1924608	1926509	0.138801	0.065925	0.093510
adi2mcaRNA15962_R0	-	1	+	1932948	1937713	22.264133	10.574564	14.999263
g21681	-	1	-	1938653	1940964	269.444458	127.975243	181.523697
g21682	-	1	-	1944937	1947079	0.171474	0.081443	0.115521
g21683	-	1	+	1953301	1968254	60.770477	28.863522	40.940838
g21684	-	1	+	1970772	1974318	2.265010	1.075788	1.525929
g21685	-	1	+	1984567	2003518	18.270834	8.677909	12.308991
g21686	-	1	+	2007243	2036975	27.961969	13.280806	18.837873
g21687	-	1	+	2041709	2042566	1.596737	0.758386	1.075716
g21689	-	1	-	2059983	2060780	19.555136	9.287900	13.174221
g21690	-	1	+	2064873	2065865	96.232971	45.706776	64.831787
g21691	-	1	-	2071531	2083593	16.475090	7.825002	11.099205
g21692	-	1	+	2084265	2098448	58.191036	27.638391	39.203079
g21693	-	1	+	2103413	2104172	295.979736	140.578430	199.400421
adi2mcaRNA15941_R0	-	1	+	2136468	2169370	69.620804	33.067070	46.903267
g21696	-	1	-	2175815	2178349	118.902565	56.473915	80.104210
g21697	-	1	-	2183490	2184443	265.760986	126.225731	179.042175
g21698	-	1	-	2192681	2201442	13.859420	6.582665	9.337039
g21699	-	1	-	2206921	2207271	121.074081	57.505299	81.567146
g21700	-	1	-	2209757	2223543	102.230988	48.555592	68.872627
g21701	-	1	-	2230513	2232206	92.524902	43.945595	62.333675
g21702	-	1	+	2232380	2254937	34.873093	16.563311	23.493870
g21703	-	1	-	2256857	2267938	22.743977	10.802470	15.322530
g21704	-	1	+	2277230	2304315	21.777023	10.343206	14.671099
g21705	-	1	-	2311594	2345468	112.659187	53.508564	75.898064
g21706	-	1	+	2370843	2371787	23.766138	11.287956	16.011156
g21707	-	1	+	2390569	2392153	0.000000	0.000000	0.000000
g21708	-	1	-	2398989	2401514	113.897057	54.096500	76.732010
g21709	-	1	+	2402222	2416695	7.388889	3.509424	4.977867
g21710	-	1	-	2423039	2426056	138.557526	65.809227	93.345673
g21711	-	1	+	2445106	2445447	0.602339	0.286087	0.405793
g21713	-	1	-	2457801	2480051	29.604948	14.061154	19.944740
g21714	-	1	+	2483360	2488971	34.220642	16.253424	23.054317
g21715	-	1	-	2492735	2501708	0.212414	0.100888	0.143102
g21716	-	1	-	2506259	2521776	28.218910	13.402843	19.010973
g21717	-	1	-	2531062	2533957	1.385535	0.658073	0.933430
g21721	-	1	+	2548946	2617412	4.463647	2.120052	3.007142
g21723	-	1	+	2619255	2625409	17.692810	8.403370	11.919579
adi2mcaRNA38266_R0	-	1	+	2645879	2655436	0.975771	0.463452	0.657373
g21727	-	1	+	2680167	2723369	58.741421	27.899803	39.573872
g21728	-	1	+	2731650	2732693	0.000000	0.000000	0.000000
g21730	-	1	-	2748256	2760020	52.743656	25.051105	35.533199
g21731	-	1	+	2762550	2764304	1.098799	0.521885	0.740257
g21732	-	1	-	2779907	2789826	90.762787	43.108658	61.146542
g21733	-	1	+	2802080	2810921	48.809525	23.182554	32.882790
g21734	-	1	-	2817403	2818158	0.000000	0.000000	0.000000
g21735	-	1	-	2818538	2818840	0.000000	0.000000	0.000000
g21736	-	1	+	2818940	2819770	0.000000	0.000000	0.000000
g21737	-	1	-	2820556	2823439	9.730257	4.621479	6.555237
g21739	-	1	+	2861041	2874369	11.670162	5.542856	7.862144
g21740	-	1	-	2881617	2888372	15.311143	7.272174	10.315059
adi2mcaRNA32123_R6	-	1	+	2896312	2897842	1.770460	0.840897	1.192752
g21742	-	1	-	2898393	2899355	6.971172	3.311025	4.696452
g21743	-	1	+	2902908	2918764	455.971252	216.567932	307.186096
g21744	-	1	-	2920847	2924472	11.041298	5.244170	7.438480
g21745	-	1	-	2937235	2955005	30.418442	14.447532	20.492788
g21746	-	1	+	2960805	2961755	58.790123	27.922934	39.606682
g21747	-	1	+	2961767	2979106	70.142212	33.314720	47.254539
adi2mcaRNA331_R0	-	1	-	2991798	3049901	60.967903	28.957293	41.073845
g21750	-	1	-	3062915	3067597	100.756615	47.855320	67.879349
g21751	-	1	+	3068049	3089658	39.551788	18.785501	26.645889
g21752	-	1	-	3091241	3097303	23.405836	11.116827	15.768423
g21753	-	1	+	3098199	3120601	57.935478	27.517014	39.030914
g21754	-	1	+	3125992	3152597	48.839443	23.196762	32.902946
g21755	-	1	+	3165614	3172746	4.766025	2.263669	3.210853
g21756	-	1	+	3176728	3177291	0.663141	0.314965	0.446756
g21761	-	1	+	3194175	3199090	8.171906	3.881326	5.505383
g21762	-	1	+	3202783	3208946	10.825000	5.141438	7.292761
g21763	-	1	-	3217532	3220768	6.238640	2.963102	4.202948
g21777	-	2	+	69651	77802	0.000000	0.000000	0.000000
g21783	-	2	+	115978	123365	0.000000	0.000000	0.000000
g21795	-	2	+	174011	175376	0.318727	0.151382	0.214725
g21799	-	2	-	208892	211608	0.198667	0.094359	0.133841
g21809	-	2	-	260987	264460	0.000000	0.000000	0.000000
adi2mcaRNA3946_R2	-	2	+	313884	315077	0.042714	0.020287	0.028776
